EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2007;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;85700000
2007;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;660579530
2007;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;19694100000
2007;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;465120000
2007;22102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1435403050
2007;60001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;97357540000
2007;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;83924620000
2007;98001;10;;;Sobre la renta;82915000000
2007;98001;100;;;De las personas físicas;39474000000
2007;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;39624000000
2007;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-150000000
2007;98001;101;;;De sociedades;41641000000
2007;98001;101;;00;Impuesto sobre Sociedades;41641000000
2007;98001;102;;;De no residentes;1800000000
2007;98001;102;;00;Impuesto sobre la Renta de no residentes;1800000000
2007;98001;11;;;Sobre el capital;72000000
2007;98001;119;;;Otros impuestos sobre el capital;72000000
2007;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;30000000
2007;98001;119;;01;Impuesto sobre el Patrimonio;42000000
2007;13102;12;;;Cotizaciones sociales;85700000
2007;14113;12;;;Cotizaciones sociales;660579530
2007;19101;12;;;Cotizaciones sociales;19694100000
2007;19102;12;;;Cotizaciones sociales;465120000
2007;22102;12;;;Cotizaciones sociales;1435403050
2007;60001;12;;;Cotizaciones sociales;97357540000
2007;98001;12;;;Cotizaciones sociales;937620000
2007;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;85700000
2007;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;660579530
2007;22102;120;;;Cotizaciones de los regímenes especiales de funcionarios;1435403050
2007;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;937620000
2007;98001;120;;00;Cuotas de Derechos Pasivos;937620000
2007;13102;120;;01;Cuotas de funcionarios a Mutualidades;18640000
2007;14113;120;;01;Cuotas de funcionarios a Mutualidades;96952900
2007;22102;120;;01;Cuotas de funcionarios a Mutualidades;320399980
2007;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;66977500
2007;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;563626630
2007;22102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1115003070
2007;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;24500
2007;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;26000
2007;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;32000
2007;60001;121;;;Cotizaciones del Regimen General;70949220000
2007;60001;122;;;Cotizaciones del R.E.T. Autonomos;9442280000
2007;60001;123;;;Cotizaciones R.E. Agrario;1350400000
2007;60001;124;;;Cotizaciones R.E. Trabajadores del Mar;290690000
2007;60001;125;;;Cotizaciones R.E. Mineria del Carbon;203420000
2007;60001;126;;;Cotizaciones del R.E. Empleados de Hogar;548080000
2007;60001;127;;;Cotizaciones de acctes. trabajo y e. p.;7564010000
2007;60001;128;;;Cotizaciones de desempleados;7009440000
2007;19101;129;;;Otras cotizaciones;19694100000
2007;19102;129;;;Otras cotizaciones;465120000
2007;19101;129;;00;Cuota de desempleo;17911100000
2007;19101;129;;01;Cuota de formación profesional;1783000000
2007;19102;129;;02;Cuotas empresariales al Fondo de Garantía Salarial;465120000
2007;98001;2;;;IMPUESTOS INDIRECTOS;50740000000
2007;98001;21;;;Sobre el Valor Añadido;36538000000
2007;98001;210;;;Impuesto sobre el Valor Añadido;36538000000
2007;98001;210;;00;IVA sobre importaciones;9400000000
2007;98001;210;;01;IVA sobre operaciones interiores;27138000000
2007;98001;22;;;Sobre consumos específicos;10961000000
2007;98001;220;;;Impuestos especiales;10961000000
2007;98001;220;;00;Sobre el alcohol y bebidas derivadas;596000000
2007;98001;220;;01;Sobre cerveza;162000000
2007;98001;220;;03;Sobre labores de tabaco;3732000000
2007;98001;220;;04;Sobre hidrocarburos;6420000000
2007;98001;220;;06;Sobre productos intermedios;13000000
2007;98001;220;;07;Sobre la electricidad;38000000
2007;98001;23;;;Sobre tráfico exterior;1700000000
2007;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1632000000
