EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2010;01;;Casa De Su Majestad El Rey
2010;01001;;Casa De Su Majestad El Rey
2010;02;;Cortes Generales
2010;02001;;Cortes Generales
2010;02002;;Congreso De Los Diputados
2010;02003;;Senado
2010;02004;;Junta Electoral Central
2010;02005;;Defensor Del Pueblo
2010;03;;Tribunal De Cuentas
2010;03001;;Tribunal, Fiscalía Y Servicios Generales
2010;04;;Tribunal Constitucional
2010;04001;;Tribunal Constitucional
2010;05;;Consejo De Estado
2010;05001;;Consejo De Estado
2010;06;;Deuda Pública
2010;06001;;Bonos, Obligaciones Y Otras Deudas
2010;06002;;Préstamos
2010;06003;;Letras Del Tesoro
2010;06004;;Deudas Asumidas
2010;06005;;Obligaciones Diversas
2010;07;;Clases Pasivas
2010;07001;;Haberes Pasivos De Carácter Civil Y Militar
2010;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2010;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2010;08;;Consejo General Del Poder Judicial
2010;08001;;Consejo General Del Poder Judicial
2010;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2010;12001;;Ministerio, Subsecretaría Y Servicios Generales
2010;12002;;Secretaría De Estado Para La Unión Europea
2010;12003;;Secretaría De Estado De Cooperación Internacional
2010;12004;;Secretaría De Estado De Asuntos Exteriores
2010;12005;;Secretaría De Estado Para Iberoamérica
2010;12301;;Instituto Cervantes
2010;12401;;Ag. Española De Cooperación Internacional Para El Desarrollo
2010;13;;Ministerio De Justicia
2010;13001;;Ministerio, Subsecretaría Y Servicios Generales
2010;13002;;Secr. Gral. De Modernización Y Relaciones Con La Admin. De Justicia
2010;13003;;Dirección General De Los Registros Y Del Notariado
2010;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2010;13005;;S. G. De Moderniz. Y Rel. Con Admon. De Justicia. Fiscalía Gral. Estado
2010;13101;;Centro De Estudios Jurídicos
2010;13102;;Mutualidad General Judicial
2010;13301;;Agencia Española De Protección De Datos
2010;14;;Ministerio De Defensa
2010;14001;;Ministerio Y Subsecretaría
2010;14002;;Cuartel General Del Emad
2010;14003;;Secretaría De Estado De La Defensa
2010;14012;;Ejército De Tierra
2010;14017;;Armada
2010;14022;;Ejército Del Aire
2010;14104;;Cría Caballar De Las Fuerzas Armadas
2010;14107;;Gerencia De Infraestructura Y Equipamiento De La Defensa
2010;14111;;Canal De Experiencias Hidrodinámicas De El Pardo
2010;14113;;Instituto Social De Las Fuerzas Armadas
2010;14204;;Servicio Militar De Construcciones
2010;14205;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2010;14206;;Instituto Para La Vivienda De Las Fuerzas Armadas
2010;14301;;Centro Nacional De Inteligencia
2010;15;;Ministerio De Economía Y Hacienda
2010;15001;;Ministerio, Subsecretaría Y Servicios Generales
2010;15002;;Secretaría General Técnica
2010;15003;;Inspección General Del Ministerio De Economía Y Hacienda
2010;15004;;Dirección General Del Patrimonio Del Estado
2010;15005;;Secretaría De Estado De Hacienda Y Presupuestos
2010;15006;;Secretaría General De Hacienda
2010;15007;;Dirección General De Tributos
2010;15008;;Dirección General Del Catastro
2010;15009;;Tribunal Económico-Administrativo Central
2010;15011;;Intervención General De La Administración Del Estado
2010;15012;;Secretaría General De Presupuestos Y Gastos
2010;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2010;15014;;Dirección General De Fondos Comunitarios
2010;15015;;Dirección General De Presupuestos
2010;15016;;Secretaría De Estado De Economía
2010;15017;;Dirección General De Política Económica
2010;15018;;D. G. De Análisis Macroeconómico Y Economía Internacional
2010;15019;;Dirección General Del Tesoro Y Política Financiera
2010;15020;;Dirección General De Seguros Y Fondos De Pensiones
2010;15021;;Dirección General De Financiación Internacional
2010;15022;;Secretaría General De Financiación Territorial
2010;15024;;Secret. Gral. De Política Económica Y Economía Internacional
2010;15101;;Instituto De Estudios Fiscales
2010;15103;;Instituto De Contabilidad Y Auditoría De Cuentas
2010;15104;;Comisionado Para El Mercado De Tabacos
2010;15105;;Instituto Nacional De Estadística
2010;15202;;Parque Móvil Del Estado
2010;15302;;Agencia Estatal De Administración Tributaria
2010;15303;;Comisión Nacional De La Competencia
2010;16;;Ministerio Del Interior
2010;16001;;Ministerio, Subsecretaría Y Servicios Generales
2010;16002;;Secretaría De Estado De Seguridad
2010;16003;;Dirección General De La Policía Y De La Guardia Civil: Policía
2010;16004;;Dirección General De La Policía Y De La Guardia Civil: Guardia Civil
2010;16005;;Secretaría General De Instituciones Penitenciarias
2010;16101;;Jefatura De Tráfico
2010;16102;;Gerencia De Infraestr. Y Equipam. De La Seguridad Del Estado
2010;16201;;Trabajo Penitenciario Y Formación Para El Empleo
2010;17;;Ministerio De Fomento
2010;17001;;Ministerio, Subsecretaría Y Servicios Generales
2010;17002;;Dirección General De Programación Económica Y Presupuestos
2010;17003;;Secretaría General Técnica
2010;17018;;Dirección General Del Instituto Geográfico Nacional
2010;17020;;Secretaría De Estado De Planificación E Infraestructuras
2010;17031;;Secretaría De Estado De Transportes
2010;17032;;Dirección General De Marina Mercante
2010;17034;;Dirección General De Aviación Civil
2010;17038;;Dirección General De Carreteras
2010;17039;;Dirección General De Transporte Terrestre
2010;17040;;Dirección General De Infraestructuras Ferroviarias
2010;17238;;Centro De Estudios Y Experimentación De Obras Públicas
2010;17239;;Centro Nacional De Información Geográfica
2010;17401;;Agencia Estatal De Seguridad Aérea
2010;18;;Ministerio De Educación
2010;18001;;Ministerio, Subsecretaría Y Servicios Generales
2010;18002;;Secretaría General Tecnica
2010;18003;;Secretaría De Estado De Educación Y Formación Profesional
2010;18004;;Dirección General De Evaluación Y Cooperación Territorial
2010;18005;;Dirección General De Formación Profesional
2010;18006;;Secretaría General De Universidades
2010;18007;;Dirección General De Política Universitaria
2010;18008;;Dirección General De Formación Y Orientación Universitaria
2010;18009;;Dirección General De Relaciones Internacionales
2010;18101;;Universidad Internacional Menéndez Pelayo
2010;18102;;Programas Educativos Europeos
2010;19;;Ministerio De Trabajo E Inmigración
2010;19001;;Ministerio Y Subsecretaría
2010;19002;;Secretaría De Estado De La Seguridad Social
2010;19003;;Secretaría General De Empleo
2010;19007;;Secretaría De Estado De Inmigración Y Emigración
2010;19101;;Servicio Público De Empleo Estatal
2010;19102;;Fondo De Garantía Salarial
2010;19104;;Instituto Nacional De Seguridad E Higiene En El Trabajo
2010;19301;;Consejo Económico Y Social
