EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;ITEM;IMPORTE
2013;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;66181420990
2013;98001;10;;;Sobre la renta;63511300000
2013;98001;100;;;De las personas físicas;42251300000
2013;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;42500500000
2013;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-249200000
2013;98001;101;;;De sociedades;19012000000
2013;98001;101;;00;Impuesto sobre Sociedades;19012000000
2013;98001;102;;;De no residentes;2248000000
2013;98001;102;;00;Impuesto sobre la Renta de no residentes;2248000000
2013;98001;11;;;Sobre el capital;132800000
2013;98001;119;;;Otros impuestos sobre el capital;132800000
2013;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;107600000
2013;98001;119;;01;Impuesto sobre el Patrimonio;25200000
2013;98001;12;;;Cotizaciones sociales;994600990
2013;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;994600990
2013;98001;120;;00;Cuotas de Derechos Pasivos;994600990
2013;98001;13;;;Impuestos sobre la producción y almacenamiento de energía eléctrica y combustible;1542720000
2013;98001;130;;;Sobre el valor de la producción de la energía eléctrica;1259300000
2013;98001;131;;;Sobre la producción de combustible nuclear gastado y residuos resultantes de la generación de energía nucleoeléctrica;266420000
2013;98001;132;;;Sobre el almacenamiento de combustible nuclear gastado y residuos radiactivos en instalaciones centralizadas;17000000
2013;98001;2;;;IMPUESTOS INDIRECTOS;40734453650
2013;98001;21;;;Sobre el Valor Añadido;28272300000
2013;98001;210;;;Impuesto sobre el Valor Añadido;28272300000
2013;98001;210;;00;IVA sobre importaciones;9610400000
2013;98001;210;;01;IVA sobre operaciones interiores;18661900000
2013;98001;22;;;Sobre consumos específicos;9578153650
2013;98001;220;;;Impuestos especiales;9578153650
2013;98001;220;;00;Sobre el alcohol y bebidas derivadas;330900000
2013;98001;220;;01;Sobre cerveza;120900000
2013;98001;220;;03;Sobre labores de tabaco;3507800000
2013;98001;220;;04;Sobre hidrocarburos;5545653650
2013;98001;220;;06;Sobre productos intermedios;7600000
2013;98001;220;;07;Sobre la electricidad;65300000
