EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;01;;CASA DE SU MAJESTAD EL REY
2014;01001;;CASA DE SU MAJESTAD EL REY
2014;02;;CORTES GENERALES
2014;02001;;CORTES GENERALES
2014;02002;;CONGRESO DE LOS DIPUTADOS
2014;02003;;SENADO
2014;02004;;JUNTA ELECTORAL CENTRAL
2014;02005;;DEFENSOR DEL PUEBLO
2014;03;;TRIBUNAL DE CUENTAS
2014;03001;;TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES
2014;04;;TRIBUNAL CONSTITUCIONAL
2014;04001;;TRIBUNAL CONSTITUCIONAL
2014;05;;CONSEJO DE ESTADO
2014;05001;;CONSEJO DE ESTADO
2014;06;;DEUDA PÚBLICA
2014;06001;;BONOS, OBLIGACIONES Y OTRAS DEUDAS
2014;06002;;PRÉSTAMOS
2014;06003;;LETRAS DEL TESORO
2014;06004;;DEUDAS ASUMIDAS
2014;06005;;OBLIGACIONES DIVERSAS
2014;07;;CLASES PASIVAS
2014;07001;;PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS
2014;08;;CONSEJO GENERAL DEL PODER JUDICIAL
2014;08001;;CONSEJO GENERAL DEL PODER JUDICIAL
2014;12;;MINISTERIO DE ASUNTOS EXTERIORES Y DE COOPERACIÓN
2014;12001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;12002;;SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA
2014;12003;;SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL Y PARA IBEROAMÉRICA
2014;12004;;SECRETARÍA DE ESTADO DE ASUNTOS EXTERIORES
2014;12301;;INSTITUTO CERVANTES
2014;12401;;AG. ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO
2014;13;;MINISTERIO DE JUSTICIA
2014;13001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;13002;;SECRETARÍA GENERAL DE LA ADMINISTRACIÓN DE JUSTICIA
2014;13003;;DIRECCIÓN GENERAL DE LOS REGISTROS Y DEL NOTARIADO
2014;13004;;ABOGACÍA GENERAL DEL ESTADO-DIRECCIÓN DEL SERVICIO JURIDICO DEL ESTADO
2014;13005;;SECRETARÍA GENERAL DE LA ADMINISTRACIÓN DE JUSTICIA. FISCALÍA GENERAL DEL ESTADO
2014;13006;;SECRETARÍA GENERAL DE LA ADMINISTRACIÓN DE JUSTICIA-MINISTERIO FISCAL
2014;13101;;CENTRO DE ESTUDIOS JURÍDICOS
2014;13102;;MUTUALIDAD GENERAL JUDICIAL
2014;13301;;AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS
2014;14;;MINISTERIO DE DEFENSA
2014;14001;;MINISTERIO Y SUBSECRETARÍA
2014;14002;;CUARTEL GENERAL DEL EMAD
2014;14003;;SECRETARÍA DE ESTADO DE LA DEFENSA
2014;14012;;EJÉRCITO DE TIERRA
2014;14017;;ARMADA
2014;14022;;EJÉRCITO DEL AIRE
2014;14107;;INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA
2014;14111;;CANAL DE EXPERIENCIAS HIDRODINÁMICAS DE EL PARDO
2014;14113;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS
2014;14204;;SERVICIO MILITAR DE CONSTRUCCIONES
2014;14205;;INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS
2014;15;;MINISTERIO DE HACIENDA Y ADMINISTRACIONES PÚBLICAS
2014;15001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;15002;;SECRETARÍA GENERAL TÉCNICA
2014;15004;;DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO
2014;15005;;SECRETARÍA DE ESTADO DE HACIENDA
2014;15007;;DIRECCIÓN GENERAL DE TRIBUTOS
2014;15008;;DIRECCIÓN GENERAL DEL CATASTRO
2014;15009;;TRIBUNAL ECONÓMICO-ADMINISTRATIVO CENTRAL
