EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2017;G;1;;;;;Gastos de personal
2017;G;1;10;;;;Altos cargos
2017;G;1;10;100;;;Retribuciones básicas y otras remuneraciones
2017;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2017;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2017;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2017;G;1;11;;;;Personal eventual
2017;G;1;11;110;;;Retribuciones básicas y otras remuneraciones
2017;G;1;11;111;;;Personal eventual de las Cortes
2017;G;1;12;;;;Funcionarios
2017;G;1;12;120;;;Retribuciones básicas
2017;G;1;12;121;;;Retribuciones complementarias
2017;G;1;12;122;;;Retribuciones en especie
2017;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2017;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2017;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2017;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2017;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2017;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2017;G;1;12;125/13003;;;Para retribuir al personal sustituto de la Administración de Justicia
2017;G;1;12;125/13006;;;Para retribuir al personal sustituto de la Administración de Justicia
2017;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2017;G;1;12;127;;;Contribuciones a planes de pensiones
2017;G;1;12;128;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
2017;G;1;13;;;;Laborales
2017;G;1;13;130;;;Laboral fijo
2017;G;1;13;131;;;Laboral eventual
2017;G;1;13;132;;;Retribuciones en especie
2017;G;1;13;133;;;Laboral en el extranjero
2017;G;1;13;135/02002;;;Retribuciones del personal laboral de las Cortes
2017;G;1;13;135/02003;;;Retribuciones del personal laboral de las Cortes
2017;G;1;13;135/02004;;;Retribuciones del personal laboral de la Junta Electoral Central
2017;G;1;13;137;;;Contribuciones a planes de pensiones
2017;G;1;14;;;;Otro personal
2017;G;1;14;143;;;Otro personal
2017;G;1;14;145;;;Otro Personal del Defensor del Pueblo
2017;G;1;15;;;;Incentivos al rendimiento
2017;G;1;15;150;;;Productividad
2017;G;1;15;151;;;Gratificaciones
2017;G;1;15;152/13102;;;Otros incentivos al rendimiento
2017;G;1;15;152/14001;;;Productividad del Personal Estatutario
2017;G;1;15;153;;;Complemento de dedicación especial
2017;G;1;15;154/25103;;;Otras gratificaciones por Actos de Estado
2017;G;1;15;154/26105;;;Productividad personal estatutario factor fijo
2017;G;1;15;155/26105;;;Productividad personal estatutario factor variable.
2017;G;1;15;155/31002;;;Participación  del  personal en  los  programas  de  calidad regulados en el Real Decreto 951/2005, de 29 de Julio
2017;G;1;16;;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2017;G;1;16;160;;;Cuotas sociales
2017;G;1;16;162;;;Gastos sociales del personal
2017;G;1;16;165;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2017;G;2;;;;;Gastos corrientes en bienes y servicios
2017;G;2;20;;;;Arrendamientos y cánones
2017;G;2;20;200;;;Arrendamientos de terrenos y bienes naturales
2017;G;2;20;201;;;Arrendamientos para almacenamiento de productos de intervención
2017;G;2;20;202;;;Arrendamientos de edificios y otras construcciones
2017;G;2;20;203;;;Arrendamientos de maquinaria, instalaciones y utillaje
2017;G;2;20;204;;;Arrendamientos de medios de transporte
2017;G;2;20;205;;;Arrendamientos de mobiliario y enseres
2017;G;2;20;206;;;Arrendamientos de equipos para procesos de información
2017;G;2;20;207;;;Alquileres
2017;G;2;20;208;;;Arrendamientos de otro inmovilizado material
2017;G;2;20;209;;;Cánones
2017;G;2;21;;;;Reparaciones, mantenimiento y conservación
2017;G;2;21;210;;;Infraestructura y bienes naturales
2017;G;2;21;212;;;Edificios y otras construcciones
2017;G;2;21;213;;;Maquinaria, instalaciones y utillaje
2017;G;2;21;214;;;Elementos de transporte
2017;G;2;21;215;;;Mobiliario y enseres
2017;G;2;21;216;;;Equipos para procesos de la información
2017;G;2;21;217;;;Gastos diversos de reparación y conservación
2017;G;2;21;218;;;Bienes situados en el exterior
2017;G;2;21;219;;;Otro inmovilizado material
2017;G;2;22;;;;Material, suministros y otros
2017;G;2;22;220;;;Material de oficina
2017;G;2;22;221;;;Suministros
2017;G;2;22;222;;;Comunicaciones
2017;G;2;22;223;;;Transportes
2017;G;2;22;224;;;Primas de seguros
2017;G;2;22;225;;;Tributos
2017;G;2;22;226;;;Gastos diversos
2017;G;2;22;227;;;Trabajos realizados por otras empresas y profesionales
2017;G;2;22;228/14003;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
2017;G;2;22;228/16001;;;Fondo de prevención de emergencias derivado del artículo 11 de la Ley 17/2015, de 9 de julio, del Sistema Nacional de Protección Civil
2017;G;2;22;229/12001;;;Obligaciones de ejercicios anteriores
2017;G;2;22;229/16101;;;Labores Fábrica Nacional Moneda y Timbre. Obligaciones de ejercicios anteriores
2017;G;2;22;229/18004;;;Gastos de funcionamiento de los centros docentes no universitarios
2017;G;2;22;229/18005;;;Gastos de funcionamiento de los centros docentes no universitarios
2017;G;2;22;229/18008;;;Gastos de funcionamiento de los centros docentes no universitarios
2017;G;2;22;229/25001;;;Para los gastos del Centro Internacional de Prensa
2017;G;2;23;;;;Indemnizaciones por razón del servicio
2017;G;2;23;230;;;Dietas
2017;G;2;23;231;;;Locomoción
2017;G;2;23;232;;;Traslado
2017;G;2;23;233;;;Otras indemnizaciones
2017;G;2;23;234;;;Dietas, locomoción y otras indemnizaciones
2017;G;2;24;;;;Gastos de publicaciones
2017;G;2;24;240;;;Gastos de edición y distribución
2017;G;2;25;;;;Conciertos de asistencia sanitaria
2017;G;2;25;250;;;Con la Seguridad Social
2017;G;2;25;251;;;Con entidades de seguro libre
2017;G;2;25;259;;;Otros conciertos de asistencia sanitaria
2017;G;2;26;;;;Servicios sociales con medios ajenos
2017;G;2;27;;;;Compras, suministros y otros gastos relacionados con la actividad
2017;G;2;27;270;;;Suministros de materias primas y otros suministros
2017;G;2;27;271;;;Servicios prestados por empresas
2017;G;2;27;272;;;Otros gastos directamente relacionados con la actividad de la Agencia
2017;G;2;28;;;;Gastos relacionados con la actividad comercial
2017;G;2;28;280;;;Gastos relacionados con la actividad comercial
2017;G;3;;;;;Gastos financieros
2017;G;3;30;;;;De deuda pública en euros
2017;G;3;30;300;;;Intereses
2017;G;3;30;301;;;Gastos de emisión, modificación y cancelación
2017;G;3;30;303;;;Rendimientos implícitos
2017;G;3;31;;;;De préstamos en euros
2017;G;3;31;310;;;Intereses
2017;G;3;31;311;;;Gastos de emisión, modificación y cancelación
2017;G;3;31;319;;;Otros gastos financieros
2017;G;3;32;;;;De deuda pública en moneda extranjera
2017;G;3;32;320;;;Intereses
2017;G;3;32;321;;;Gastos de emisión, modificación y cancelación
2017;G;3;32;322;;;Diferencias de cambio
2017;G;3;32;323;;;Rendimientos implícitos
2017;G;3;33;;;;De préstamos en moneda extranjera
2017;G;3;33;330;;;Intereses
2017;G;3;33;331;;;Gastos de emision, modificacion y cancelacion
2017;G;3;33;339;;;Otros gastos financieros
2017;G;3;34;;;;De depósitos y fianzas
2017;G;3;34;340;;;Intereses de depósitos
2017;G;3;34;341;;;Intereses de fianzas
2017;G;3;35;;;;Intereses de demora y otros gastos financieros
2017;G;3;35;350;;;Intereses de demora y otros gastos financieros
2017;G;3;35;351;;;Cobertura de riesgos en avales prestados por el Tesoro, incluidos los riesgos de ejercicios anteriores
2017;G;3;35;352;;;Intereses de demora
2017;G;3;35;353;;;Intereses de demora por Sentencias, Recursos y Reclamaciones, incluidas obligaciones de ejercicios anteriores
2017;G;3;35;354;;;Liquidación de intereses de demora correspondientes al reconocimiento de diferencias salariales por sentencias y autos
2017;G;3;35;355;;;Compensaciones derivadas de la ejecución de avales frente al Tesoro Público
2017;G;3;35;358/12401;;;Intereses  de  demora  correspondientes  a liquidaciones  de ejercicios anteriores
2017;G;3;35;358/23018;;;Intereses de demora correspondientes a liquidaciones de ejercicios anteriores.
2017;G;3;35;358/27004;;;Remuneración negativa de fondos del Tesoro Público
2017;G;3;35;358/34001;;;Intereses de demora a la Unión Europea, incluso obligaciones de ejercicios anteriores
2017;G;3;35;359;;;Otros gastos financieros
2017;G;4;;;;;Transferencias corrientes
2017;G;4;40;;;;A la Administración del Estado
2017;G;4;40;400/15104;;;A la Administración del Estado
2017;G;4;40;400/16101;;;Al Estado, para generar crédito en el Ministerio del Interior, según la DIsposición adicional segunda de la Ley Orgánica 6/2011
2017;G;4;40;400/19101;;;Reserva gestión directa Servicio Público de Empleo Estatal. Gestión de servicios y programas de políticas activas de empleo en colaboración con órganos de la Administración General del Estado
