EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2017;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;96731010
2017;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;727110020
2017;15106;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1626940190
2017;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;21440106040
2017;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;508311000
2017;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;110560320000
2017;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;67763061530
2017;98001;10;;;Sobre la renta;64876000000
2017;98001;100;;;De las personas físicas;38264000000
2017;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;38528000000
2017;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-264000000
2017;98001;101;;;De sociedades;24399000000
2017;98001;101;;00;Impuesto sobre Sociedades;24399000000
2017;98001;102;;;De no residentes;2213000000
2017;98001;102;;00;Impuesto sobre la Renta de no Residentes;2213000000
2017;98001;11;;;Sobre el capital;206000000
2017;98001;119;;;Otros impuestos sobre el capital;206000000
2017;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones;165000000
2017;98001;119;;01;Impuesto sobre el Patrimonio;41000000
2017;13102;12;;;Cotizaciones sociales;96731010
2017;14113;12;;;Cotizaciones sociales;727110020
2017;15106;12;;;Cotizaciones sociales;1626940190
2017;19101;12;;;Cotizaciones sociales;21440106040
2017;19102;12;;;Cotizaciones sociales;508311000
2017;60004;12;;;Cotizaciones sociales;110560320000
2017;98001;12;;;Cotizaciones sociales;909061530
2017;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;96731010
2017;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;727110020
2017;15106;120;;;Cotizaciones de los regímenes especiales de funcionarios;1626940190
2017;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;909061530
2017;98001;120;;00;Cuotas de Derechos Pasivos;909061530
2017;13102;120;;01;Cuotas de funcionarios a Mutualidades;24311610
2017;14113;120;;01;Cuotas de funcionarios a Mutualidades;102658290
2017;15106;120;;01;Cuotas de funcionarios a Mutualidades;322759040
2017;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;72383400
2017;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;624451730
2017;15106;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1304181150
2017;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;10000
2017;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;14000
2017;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;12000
2017;60004;121;;;Cotizaciones del Regimen General;84474717750
2017;60004;122;;;Cotizaciones del R.E.T. Autonomos;11558370000
2017;60004;124;;;Cotizaciones R.E. Trabajadores del Mar;351160000
2017;60004;125;;;Cotizaciones R.E. Mineria del Carbon;119540000
2017;60004;127;;;Cotizaciones de acctes. trabajo y e. p.;7331170000
2017;60004;128;;;Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo;6592702250
2017;19101;129;;;Otras cotizaciones;21440106040
2017;19102;129;;;Otras cotizaciones;508311000
2017;60004;129;;;Otras cotizaciones;132660000
2017;19101;129;;00;Cuota de desempleo;19414508510
2017;19101;129;;01;Cuota de formación profesional;2011422410
2017;19102;129;;02;Cuotas empresariales al Fondo de Garantía Salarial;508311000
2017;19101;129;;03;Cuota de protección por cese de actividad;14175120
2017;98001;13;;;Sobre la producción y almacenamiento de energía eléctrica y combustible;1772000000
2017;98001;130;;;Sobre el valor de la producción de la energía eléctrica;1497000000
2017;98001;131;;;Sobre la producción de combustible nuclear gastado y residuos radiactivos resultantes de la generación de energía nucleoeléctrica en impuesto sobre el almacenamiento de combustible nuclear gastado y residuos radioactivos en instalaciones centralizadas;275000000
2017;98001;2;;;IMPUESTOS INDIRECTOS;44532000000
2017;98001;21;;;Sobre el Valor Añadido;33052000000
2017;98001;210;;;Impuesto sobre el Valor Añadido;33052000000
2017;98001;210;;00;IVA sobre importaciones;14952500000
2017;98001;210;;01;IVA sobre operaciones interiores;18099500000
2017;98001;22;;;Sobre consumos específicos;7811000000
2017;98001;220;;;Impuestos especiales;7811000000
2017;98001;220;;00;Sobre el alcohol y bebidas derivadas;373000000
2017;98001;220;;01;Sobre cerveza;127000000
2017;98001;220;;03;Sobre labores de tabaco;2726500000
2017;98001;220;;04;Sobre hidrocarburos;4234500000
2017;98001;220;;06;Sobre productos intermedios;10000000
2017;98001;220;;07;Sobre la electricidad;73000000
2017;98001;220;;08;Sobre carbón;267000000
2017;98001;23;;;Sobre tráfico exterior;1986500000
2017;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1984500000
2017;98001;231;;;Exacciones reguladoras y otros gravámenes agrícolas;2000000
2017;98001;28;;;Otros impuestos indirectos;1682500000
2017;98001;280;;;Cotización, producción y almacenamiento de azúcar e isoglucosa;7000000
2017;98001;281;;;Impuesto sobre las Primas de Seguros;1493500000
2017;98001;282;;;Sobre transmisiones patrimoniales intervivos;7000000
2017;98001;283;;;Impuesto sobre actividades del juego;75000000
2017;98001;283;;00;De apuestas mutuas deportivas;75000000
2017;98001;285;;;Impuesto sobre los Gases Fluorados de Efecto Invernadero;100000000
2017;12301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;52445550
2017;12401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15160450
2017;13101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;13000
2017;13102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;81300
2017;13301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9000000
2017;14101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;42003000
2017;14107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;7020000
2017;14113;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2634000
2017;15101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;123470
2017;15102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;373000
2017;15104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;29761000
2017;15106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1065700
2017;15107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1283000
2017;15301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;3800000
2017;15302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;45739800
2017;15401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;78920
2017;16101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;904062710
2017;17101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;13073390
2017;17102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;3100000
2017;17401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;66050000
2017;17402;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1760960
2017;18101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5012820
2017;18102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;471000
2017;18103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;519000
2017;18104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;482000
2017;18105;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15000
2017;18106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;530950
2017;18107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10640000
2017;18108;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;200000
2017;18301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;18071420
2017;18302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5851000
2017;18401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;325000
2017;19101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;438896110
2017;19102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;115137610
2017;19104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;381000
2017;19301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;28000
2017;20102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;45506300
2017;20104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4600000
2017;20302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;46042130
2017;23101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;300000
2017;23102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9049410
2017;23103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;28485000
2017;23104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;72035290
2017;23105;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;88705330
2017;23106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;33512000
2017;23107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;20100000
2017;23108;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;7276270
2017;23109;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8346810
