EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;0;;;;;Transferencias internas
2021;0;00;;;;Transferencias internas
2021;0;00;000;000X;;Transferencias y libramientos internos
2021;1;;;;;Servicios públicos básicos
2021;1;11;;;;Justicia
2021;1;11;110;110A;;Justicia. Mecanismo de Recuperación y Resiliencia
2021;1;11;111;111M;;Gobierno del Poder Judicial
2021;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2021;1;11;111;111O;;Selección y formación de jueces
2021;1;11;111;111P;;Documentación y publicaciones judiciales
2021;1;11;111;111Q;;Formación del Personal de la Administración de Justicia
2021;1;11;111;111R;;Formación de la Carrera Fiscal
2021;1;11;112;112A;;Tribunales de Justicia y Ministerio Fiscal
2021;1;11;113;113M;;Registros vinculados con la Fe Pública
2021;1;12;;;;Defensa
2021;1;12;120;120A;;Defensa. Mecanismo de Recuperación y Resiliencia
2021;1;12;121;121M;;Administración y Servicios Generales de Defensa
2021;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2021;1;12;121;121O;;Personal en reserva
2021;1;12;122;122A;;Modernización de las Fuerzas Armadas
2021;1;12;122;122B;;Programas especiales de modernización
2021;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2021;1;12;122;122N;;Apoyo Logístico
2021;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2021;1;13;130;130A;;Seguridad Ciudadana. Mecanismo de Recuperación y Resiliencia
2021;1;13;131;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil
2021;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2021;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2021;1;13;131;131P;;Derecho de asilo y apátridas
2021;1;13;132;132A;;Seguridad ciudadana
2021;1;13;132;132B;;Seguridad vial
2021;1;13;132;132C;;Actuaciones policiales en materia de droga
2021;1;13;133;133A;;Centros e Instituciones Penitenciarias
2021;1;13;134;134M;;Protección Civil
2021;1;13;135;135M;;Protección de datos de carácter personal
2021;1;14;;;;Política exterior
2021;1;14;140;140A;;Política Exterior. Mecanismo de Recuperación y Resiliencia
2021;1;14;140;140B;;Cooperación, promoción y difusión educativa en el exterior. Mecanismo de Recuperación y Resiliencia
2021;1;14;141;141M;;Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación
2021;1;14;142;142A;;Acción del Estado en el exterior
2021;1;14;142;142B;;Acción Diplomática ante la Unión Europea
2021;1;14;143;143A;;Cooperación para el desarrollo
2021;1;14;144;144A;;Cooperación, promoción y difusión cultural en el exterior
2021;1;14;144;144B;;Cooperación, promoción y difusión educativa en el exterior
2021;2;;;;;Protección y promoción social
2021;2;21;;;;Pensiones
2021;2;21;211;211M;;Pensiones contributivas de la Seguridad Social
2021;2;21;211;211N;;Pensiones de Clases Pasivas
2021;2;21;211;211O;;Otras pensiones y prestaciones de Clases Pasivas
2021;2;21;212;212M;;Pensiones no contributivas y prestaciones asistenciales
2021;2;21;212;212N;;Pensiones de guerra
2021;2;21;212;212O;;Gestión y control de los complementos a mínimos de pensiones
2021;2;21;219;219M;;Gestión de las prestaciones económicas de Seguridad Social
2021;2;21;219;219N;;Gestión de pensiones de Clases Pasivas
2021;2;22;;;;Otras prestaciones económicas
2021;2;22;220;220A;;Otras prestaciones económicas. Mecanismo de Recuperación y Resiliencia
2021;2;22;221;221M;;Subsidios de incapacidad temporal y otras prestaciones económicas de la Seguridad Social
2021;2;22;222;222M;;Prestaciones económicas del Mutualismo Administrativo
2021;2;22;223;223M;;Prestaciones de garantía salarial
2021;2;22;224;224M;;Prestaciones económicas por cese de actividad
2021;2;23;;;;Servicios sociales y promoción social
2021;2;23;230;230A;;Servicios sociales y promoción social. Mecanismo de Recuperación y Resiliencia
